ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_PRICE,PRICE_USD
10223,0.3406593406593407,1.0,1,0.25612929363038733,2004-02-20,Shipped,1,2,2004,1,95,0,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Medium,3700.0,1526.7791
10237,0.18681318681318687,1.0,7,0.1360955011775155,2004-04-05,Shipped,2,4,2004,1,95,0,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1,Frick,Michael,Small,2300.0,898.2511999999999
10251,0.2417582417582418,1.0,2,0.19899828464333005,2004-05-18,Shipped,2,5,2004,1,95,0,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Unknown,Newark,NJ,94019,USA,1,Brown,William,Medium,2800.0,1227.6263999999999
10263,0.3076923076923077,1.0,2,0.23488769303276974,2004-06-28,Shipped,2,6,2004,1,95,0,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Unknown,Bridgewater,CT,97562,USA,1,King,Julie,Medium,3400.0,1415.5526000000002
10275,0.4285714285714286,0.9019420131291027,1,0.2716939680177521,2004-07-23,Shipped,3,7,2004,1,95,0,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,1,Labrune,Janine,Medium,4177.35,1608.2797500000001
10285,0.3296703296703297,1.0,6,0.26598321994431157,2004-08-27,Shipped,3,8,2004,1,95,0,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,1,Hernandez,Marta,Medium,3600.0,1578.3768000000002
10299,0.18681318681318687,1.0,9,0.15552616157880456,2004-09-30,Shipped,3,9,2004,1,95,0,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Unknown,Helsinki,Unknown,21240,Finland,1,Karttunen,Matti,Small,2300.0,999.99515
10309,0.38461538461538464,1.0,5,0.2876512701212514,2004-10-15,Shipped,4,10,2004,1,95,0,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Unknown,Stavern,Unknown,4110,Norway,1,Bergulfsen,Jonas,Medium,4100.0,1691.8363000000002
10318,0.43956043956043966,0.9280634573304156,1,0.2849793429294292,2004-11-02,Shipped,4,11,2004,1,95,0,Diecast Classics Inc.,2155551555,7586 Pompton St.,Unknown,Allentown,PA,70267,USA,1,Yu,Kyung,Medium,4358.04,1677.8454
10329,0.39560439560439564,1.0,1,0.28778067551083886,2004-11-15,Shipped,4,11,2004,1,95,0,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,1,Yu,Kwai,Medium,4200.0,1692.5139000000001
10341,0.38461538461538464,1.0,9,0.5334884237320662,2004-11-24,Shipped,4,11,2004,1,95,0,Salzburg Collectables,6562-9555,Geislweg 14,Unknown,Salzburg,Unknown,5020,Austria,1,Pipps,Georg,Large,4100.0,2979.10305
10361,0.15384615384615385,0.624589715536105,13,0.07123693170998194,2004-12-17,Shipped,4,12,2004,1,95,0,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,0,Huxley,Adrian,Small,1451.0,558.635
10375,0.16483516483516486,0.10981947483588617,12,0.01845350265832492,2005-02-03,Shipped,1,2,2005,1,95,0,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,1,Labrune,Janine,Small,733.1099999999999,282.24735000000004
10388,0.39560439560439564,0.6766958424507659,4,0.20035704123399803,2005-03-03,Shipped,1,3,2005,1,95,0,FunGiftIdeas.com,5085552555,1785 First Street,Unknown,New Bedford,MA,50553,USA,1,Benitez,Violeta,Medium,3207.12,1234.7412
10403,0.19780219780219782,1.0,7,0.14355395726828163,2005-04-08,Shipped,2,4,2005,1,95,0,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Unknown,Liverpool,Unknown,WX1 6LT,UK,1,Devon,Elizabeth,Small,2400.0,937.3056
10417,0.6593406593406594,1.0,2,0.5171767273229921,2005-05-13,Disputed,2,5,2005,1,95,0,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,1,Freyre,Diego,Large,6600.0,2893.6908
10103,0.21978021978021983,1.0,11,0.3619299637444332,2003-01-29,Shipped,1,1,2003,0,214,1,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Unknown,Stavern,Unknown,4110,Norway,1,Bergulfsen,Jonas,Medium,2600.0,2080.7787
10112,0.2527472527472528,1.0,1,0.4946065157084173,2003-03-24,Shipped,1,3,2003,0,214,1,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Unknown,Lule,Unknown,S-958 22,Sweden,1,Berglund,Christina,Large,2900.0,2775.50735
10126,0.3516483516483517,1.0,11,0.5034259341635375,2003-05-28,Shipped,2,5,2003,0,214,1,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Unknown,Madrid,Unknown,28023,Spain,1,Sommer,Mart¡n,Large,3800.0,2821.6881000000003
10140,0.3406593406593407,1.0,11,0.506737535724343,2003-07-24,Shipped,3,7,2003,0,214,1,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,1,Hirano,Juri,Large,3700.0,2839.0285000000003
10150,0.4285714285714286,1.0,8,0.7728567783793004,2003-09-19,Shipped,3,9,2003,0,214,1,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Unknown,Singapore,Unknown,79903,Singapore,2,Natividad,Eric,Large,4500.0,4232.4975
10163,0.16483516483516486,1.0,1,0.3219039944355682,2003-10-20,Shipped,4,10,2003,0,214,1,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,1,Hernandez,Maria,Medium,2100.0,1871.1924
10174,0.3076923076923077,1.0,4,0.5538469795973286,2003-11-06,Shipped,4,11,2003,0,214,1,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Unknown,South Brisbane,Queensland,4101,Australia,0,Calaghan,Tony,Large,3400.0,3085.7057
10183,0.18681318681318687,1.0,8,0.35957346218973035,2003-11-13,Shipped,4,11,2003,0,214,1,"Classic Gift Ideas, Inc",2155554695,782 First Street,Unknown,Philadelphia,PA,71270,USA,1,Cervantes,Francisca,Medium,2300.0,2068.43945
10194,0.39560439560439564,1.0,11,0.5005804861084049,2003-11-25,Shipped,4,11,2003,0,214,1,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Unknown,Lyon,Unknown,69004,France,1,Saveley,Mary,Large,4200.0,2806.7886
10206,0.4505494505494506,1.0,6,0.6310542054178213,2003-12-05,Shipped,4,12,2003,0,214,1,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Unknown,Vancouver,BC,V3F 2K1,Canada,1,Tannamuri,Yoshi,Large,4700.0,3489.98265
10215,0.3186813186813187,1.0,3,0.41124224027198664,2004-01-29,Shipped,1,1,2004,0,214,1,West Coast Collectables Co.,3105553722,3675 Furth Circle,Unknown,Burbank,CA,94019,USA,1,Thompson,Steve,Medium,3500.0,2338.9905000000003
10228,0.2527472527472528,1.0,2,0.439765099807583,2004-03-10,Shipped,1,3,2004,0,214,1,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Unknown,Cambridge,MA,51247,USA,1,Tseng,Kyung,Medium,2900.0,2488.34355
10245,0.3076923076923077,1.0,9,0.4145538418327921,2004-05-04,Shipped,2,5,2004,0,214,1,Super Scale Inc.,2035559545,567 North Pendale Street,Unknown,New Haven,CT,97823,USA,1,Murphy,Leslie,Medium,3400.0,2356.3309
10258,0.28571428571428575,1.0,6,0.5292761312494164,2004-06-15,Shipped,2,6,2004,0,214,1,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Unknown,Minato-ku,Tokyo,106-0032,Japan,2,Shimamura,Akiko,Large,3200.0,2957.0464
10270,0.16483516483516486,1.0,9,0.325223683833223,2004-07-19,Shipped,3,7,2004,0,214,1,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,0,Huxley,Adrian,Medium,2100.0,1888.5751500000001
10280,0.3076923076923077,1.0,2,0.5538469795973286,2004-08-17,Shipped,3,8,2004,0,214,1,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Unknown,Torino,Unknown,10100,Italy,1,Accorti,Paolo,Large,3400.0,3085.7057
10291,0.3406593406593407,1.0,11,0.48924501513528373,2004-09-08,Shipped,3,9,2004,0,214,1,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Unknown,Boras,Unknown,S-844 67,Sweden,1,Larsson,Maria,Large,3700.0,2747.43315
10304,0.4505494505494506,1.0,6,0.7125068103262561,2004-10-11,Shipped,4,10,2004,0,214,1,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Unknown,Versailles,Unknown,78000,France,1,Tonini,Daniel,Large,4700.0,3916.4895000000006
10312,0.46153846153846156,1.0,3,0.8191927309463432,2004-10-21,Shipped,4,10,2004,0,214,1,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,1,Nelson,Valarie,Large,4800.0,4475.124500000001
10322,0.3736263736263737,1.0,1,0.4057351586355672,2004-11-04,Shipped,4,11,2004,0,214,1,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Unknown,Nashua,NH,62005,USA,1,Young,Valarie,Medium,4000.0,2310.154
10333,0.21978021978021983,1.0,3,0.1853489570734383,2004-11-18,Shipped,4,11,2004,0,214,1,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,Unknown,USA,1,Murphy,Julie,Medium,2600.0,1156.155
10347,0.2637362637362638,1.0,1,0.25458819308166436,2004-11-29,Shipped,4,11,2004,0,214,1,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Medium,3000.0,1518.7095
10357,0.28571428571428575,1.0,10,0.38304804101562645,2004-12-10,Shipped,4,12,2004,0,214,1,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Unknown,San Rafael,CA,97562,USA,1,Nelson,Valarie,Medium,3200.0,2191.3584
10369,0.38461538461538464,1.0,2,0.2965140687921992,2005-01-20,Shipped,1,1,2005,0,214,1,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Unknown,Brickhaven,MA,58339,USA,1,Nelson,Allen,Medium,4100.0,1738.2442
10381,0.3296703296703297,1.0,3,0.5714916985707321,2005-02-17,Shipped,1,2,2005,0,214,1,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,Unknown,USA,1,Brown,Julie,Large,3600.0,3178.098
10391,0.19780219780219782,1.0,4,0.14223049305659205,2005-03-09,Shipped,1,3,2005,0,214,1,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,0,O'Hara,Anna,Small,2400.0,930.3756
10411,0.18681318681318687,1.0,9,0.26896469071009,2005-05-01,Shipped,2,5,2005,0,214,1,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Unknown,Montreal,Quebec,H1J 1C3,Canada,1,Fresnisre,Jean,Medium,2300.0,1593.9885499999998
10424,0.4835164835164836,1.0,6,0.8469340113391473,2005-05-31,In Process,2,5,2005,0,214,1,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,1,Freyre,Diego,Large,5000.0,4620.385
10107,0.3626373626373627,0.9987691466083151,5,0.25104351476802245,2003-02-24,Shipped,1,2,2003,1,118,2,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,1,Yu,Kwai,Medium,3896.49,1500.1486499999999
10120,0.2527472527472528,0.949945295404814,3,0.16997177344939626,2003-04-29,Shipped,2,4,2003,1,118,2,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Small,2793.86,1075.6361000000002
10134,0.23076923076923078,1.0,5,0.20775741195102887,2003-07-01,Shipped,3,7,2003,1,118,2,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Unknown,Paris,Unknown,75508,France,1,Da Cunha,Daniel,Medium,2700.0,1273.49145
10145,0.3406593406593407,1.0,9,0.3463667598728592,2003-08-25,Shipped,3,8,2003,1,118,2,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Unknown,Pasadena,CA,90003,USA,1,Young,Julie,Medium,3700.0,1999.28575
10159,0.3406593406593407,1.0,17,0.33341739781937213,2003-10-10,Shipped,4,10,2003,1,118,2,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,Unknown,USA,1,Brown,Julie,Medium,3700.0,1931.47955
10168,0.23076923076923078,1.0,4,0.23372377978437825,2003-10-28,Shipped,4,10,2003,1,118,2,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,1,Hirano,Juri,Medium,2700.0,1409.45805
10180,0.39560439560439564,1.0,12,0.309798708445981,2003-11-11,Shipped,4,11,2003,1,118,2,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Unknown,Lille,Unknown,59000,France,1,Rance,Martine,Medium,4200.0,1807.8060000000003
10188,0.3516483516483517,0.949945295404814,4,0.2337230445264829,2003-11-18,Shipped,4,11,2003,1,118,2,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Unknown,Bergen,Unknown,N 5804,Norway,1,Oeztan,Veysel,Medium,3660.92,1409.4542000000001
10201,0.19780219780219782,1.0,5,0.18703416816965635,2003-12-01,Shipped,4,12,2003,1,118,2,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,Unknown,USA,1,Murphy,Julie,Medium,2400.0,1164.9792
10210,0.18681318681318687,1.0,2,0.1857967291317266,2004-01-12,Shipped,1,1,2004,1,118,2,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Unknown,Osaka,Osaka,530-0003,Japan,2,Kentary,Mory,Medium,2300.0,1158.49965
10223,0.4505494505494506,1.0,4,0.36323651702452897,2004-02-20,Shipped,1,2,2004,1,118,2,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Medium,4700.0,2087.62015
10236,0.17582417582417587,1.0,1,0.1742524449163166,2004-04-03,Shipped,2,4,2004,1,118,2,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Unknown,Philadelphia,PA,71270,USA,1,Hernandez,Rosa,Small,2200.0,1098.0508
10251,0.41758241758241765,1.0,5,0.3878036890829643,2004-05-18,Shipped,2,5,2004,1,118,2,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Unknown,Newark,NJ,94019,USA,1,Brown,William,Medium,4400.0,2216.2602
10263,0.3736263736263737,1.0,5,0.293358341905215,2004-06-28,Shipped,2,6,2004,1,118,2,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Unknown,Bridgewater,CT,97562,USA,1,King,Julie,Medium,4000.0,1721.72
10275,0.17582417582417587,1.0,4,0.17810225525654252,2004-07-23,Shipped,3,7,2004,1,118,2,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,1,Labrune,Janine,Small,2200.0,1118.2094
10285,0.4505494505494506,1.0,9,0.44133561067212135,2004-08-27,Shipped,3,8,2004,1,118,2,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,1,Hernandez,Marta,Medium,4700.0,2496.5671500000003
10298,0.3626373626373627,0.949945295404814,1,0.24080651909060363,2004-09-27,Shipped,3,9,2004,1,118,2,Atelier graphique,40.32.2555,"54, rue Royale",Unknown,Nantes,Unknown,44000,France,1,Schmitt,Carine,Medium,3757.26,1446.5451
10308,0.3076923076923077,1.0,2,0.26188636295123696,2004-10-15,Shipped,4,10,2004,1,118,2,Mini Classics,9145554562,3758 North Pendale Street,Unknown,White Plains,NY,24067,USA,1,Frick,Steve,Medium,3400.0,1556.9246
10318,0.4285714285714286,1.0,4,0.37383231855489474,2004-11-02,Shipped,4,11,2004,1,118,2,Diecast Classics Inc.,2155551555,7586 Pompton St.,Unknown,Allentown,PA,70267,USA,1,Yu,Kyung,Medium,4500.0,2143.1025
10329,0.15384615384615385,1.0,2,0.19806891866356585,2004-11-15,Shipped,4,11,2004,1,118,2,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,1,Yu,Kwai,Medium,2000.0,1222.76
10339,0.3736263736263737,0.574945295404814,4,0.1672469076891065,2004-11-23,Shipped,4,11,2004,1,118,2,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Unknown,Minato-ku,Tokyo,106-0032,Japan,2,Shimamura,Akiko,Small,2756.8,1061.3680000000002
10361,0.21978021978021983,0.3319201312910284,8,0.06233295859689266,2004-12-17,Shipped,4,12,2004,1,118,2,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,0,Huxley,Adrian,Small,1329.8999999999999,512.0115000000001
10374,0.3626373626373627,1.0,5,0.3533561214263709,2005-02-02,Shipped,1,2,2005,1,118,2,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Unknown,South Brisbane,Queensland,4101,Australia,0,Calaghan,Tony,Medium,3900.0,2035.8838500000002
10388,0.4835164835164836,0.24111050328227568,5,0.12818265570740264,2005-03-03,Shipped,1,3,2005,1,118,2,FunGiftIdeas.com,5085552555,1785 First Street,Unknown,New Bedford,MA,50553,USA,1,Benitez,Violeta,Small,2225.5,856.8175
10402,0.4285714285714286,1.0,1,0.39348576209848485,2005-04-07,Shipped,2,4,2005,1,118,2,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Unknown,Paris,Unknown,75016,France,1,Perrier,Dominique,Medium,4500.0,2246.013
10417,0.4285714285714286,1.0,5,0.39742306812826134,2005-05-13,Disputed,2,5,2005,1,118,2,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,Unknown,28034,Spain,1,Freyre,Diego,Medium,4500.0,2266.62975
10107,0.23076923076923078,1.0,4,0.41052536382398813,2003-02-24,Shipped,1,2,2003,1,193,3,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,1,Yu,Kwai,Medium,2700.0,2335.23675
10120,0.43956043956043966,1.0,2,0.6457571575517972,2003-04-29,Shipped,2,4,2003,1,193,3,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Large,4600.0,3566.9711
10134,0.27472527472527475,1.0,4,0.48099468629119,2003-07-01,Shipped,3,7,2003,1,193,3,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Unknown,Paris,Unknown,75508,France,1,Da Cunha,Daniel,Large,3100.0,2704.2322999999997
10145,0.29670329670329676,1.0,8,0.3451484375402094,2003-08-25,Shipped,3,8,2003,1,193,3,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Unknown,Pasadena,CA,90003,USA,1,Young,Julie,Medium,3300.0,1992.9063
10159,0.17582417582417587,1.0,16,0.26841104151486656,2003-10-10,Shipped,4,10,2003,1,193,3,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,Unknown,USA,1,Brown,Julie,Medium,2200.0,1591.0895
10168,0.15384615384615385,1.0,3,0.27210938872864354,2003-10-28,Shipped,4,10,2003,1,193,3,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,1,Hirano,Juri,Medium,2000.0,1610.455
10180,0.38461538461538464,1.0,11,0.6184085048751274,2003-11-11,Shipped,4,11,2003,1,193,3,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Unknown,Lille,Unknown,59000,France,1,Rance,Martine,Large,4100.0,3423.7664999999997
10188,0.4285714285714286,1.0,3,0.6053062091794008,2003-11-18,Shipped,4,11,2003,1,193,3,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Unknown,Bergen,Unknown,N 5804,Norway,1,Oeztan,Veysel,Large,4500.0,3355.1595
10201,0.4725274725274726,1.0,4,0.5576019416690502,2003-12-01,Shipped,4,12,2003,1,193,3,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,Unknown,USA,1,Murphy,Julie,Large,4900.0,3105.36765
10210,0.3076923076923077,1.0,1,0.41477883074877925,2004-01-12,Shipped,1,1,2004,1,193,3,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Unknown,Osaka,Osaka,530-0003,Japan,2,Kentary,Mory,Medium,3400.0,2357.509
10223,0.4725274725274726,1.0,3,0.6831942838110182,2004-02-20,Shipped,1,2,2004,1,193,3,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,0,Ferguson,Peter,Large,4900.0,3763.0015500000004
10237,0.3626373626373627,1.0,9,0.48098880422802703,2004-04-05,Shipped,2,4,2004,1,193,3,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1,Frick,Michael,Large,3900.0,2704.2015
10251,0.40659340659340665,1.0,4,0.48498346037364337,2004-05-18,Shipped,2,5,2004,1,193,3,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Unknown,Newark,NJ,94019,USA,1,Brown,William,Large,4300.0,2725.1185499999997
10263,0.38461538461538464,1.0,4,0.5775311069234089,2004-06-28,Shipped,2,6,2004,1,193,3,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Unknown,Bridgewater,CT,97562,USA,1,King,Julie,Large,4100.0,3209.7219000000005
10275,0.3296703296703297,1.0,3,0.47202012842014407,2004-07-23,Shipped,3,7,2004,1,193,3,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Unknown,Nantes,Unknown,44000,France,1,Labrune,Janine,Medium,3600.0,2657.2392
10285,0.23076923076923078,1.0,8,0.3643894014044896,2004-08-27,Shipped,3,8,2004,1,193,3,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Unknown,Cambridge,MA,51247,USA,1,Hernandez,Marta,Medium,2700.0,2093.65695
10299,0.2527472527472528,1.0,11,0.45594886134286033,2004-09-30,Shipped,3,9,2004,1,193,3,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Unknown,Helsinki,Unknown,21240,Finland,1,Karttunen,Matti,Medium,2900.0,2573.0859
10308,0.15384615384615385,1.0,1,0.3005932795957846,2004-10-15,Shipped,4,10,2004,1,193,3,Mini Classics,9145554562,3758 North Pendale Street,Unknown,White Plains,NY,24067,USA,1,Frick,Steve,Medium,2000.0,1759.6039999999998
10318,0.3406593406593407,1.0,3,0.5282835330906492,2004-11-02,Shipped,4,11,2004,1,193,3,Diecast Classics Inc.,2155551555,7586 Pompton St.,Unknown,Allentown,PA,70267,USA,1,Yu,Kyung,Large,3700.0,2951.8489000000004
10329,0.21978021978021983,1.0,3,0.3960150492586027,2004-11-15,Shipped,4,11,2004,1,193,3,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,1,Yu,Kwai,Medium,2600.0,2259.257
10339,0.3626373626373627,0.6809354485776806,3,0.18440268016208025,2004-11-23,Shipped,4,11,2004,1,193,3,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Unknown,Minato-ku,Tokyo,106-0032,Japan,2,Shimamura,Akiko,Small,2990.13,1151.2000500000001
10362,0.17582417582417587,1.0,4,0.2339568565372147,2005-01-05,Shipped,1,1,2005,1,193,3,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,1,Hirano,Juri,Medium,2200.0,1410.6785
